Compound Name,Molecular Weight,Molecular Formula
Perchloric acid,100.46 ,HClO4
Peroxide,34.0147 ,O2(2−)
Phosphoric acid,97.994 ,H3PO4
Phosphate,94.9714 ,PO4(3−)
Phosphine,33.9976 ,PH3
Phosphorus pentachloride,208.24 ,PCl5
Phosphorus pentoxide,141.944 ,P2O5
Phosphorus trichloride,137.333 ,PCl3
Potassium acetate,98.15 ,CH3COOK
Potassium bromate,167.00 ,KBrO3
Potassium bromide,119.002 ,KBr
Potassium carbonate,138.205 ,K2CO3
Potassium chlorate,122.55 ,KClO3
Potassium chloride,74.5513 ,KCl
Potassium chromate,194.188 ,K2CrO4
Potassium cyanide,65.12 ,KCN
Potassium dichromate,294.185 ,K2Cr2O7
Potassium ferricyanide,329.25 ,K3[Fe(CN)6]
Potassium ferrocyanide,368.35 ,K4[Fe(CN)6]
Potassium fluoride,58.0967 ,KF
Potassium hydroxide,56.1056 ,KOH
Potassium iodide,166.0028 ,KI
Potassium nitrate,101.1032 ,KNO3
Potassium nitrite,85.1038 ,KNO2
Potassium oxide,94.2 ,K2O
Potassium permanganate,158.034 ,KMnO4
Potassium phosphate,212.27 ,K3PO4
Potassium sulfate,174.259 ,K2SO4
Propane,44.097 ,C3H8
Propanoic acid,74.08 ,C3H6O2
Propylene,42.08 ,C3H6
Pyruvic acid,88.06 ,C3H4O3
Rubidium bromide,165.37 ,RbBr
Rubidium chloride,120.92 ,RbCl
Rubidium iodide,212.37 ,RbI
Sodium acetate,82.03 ,C2H3NaO2
Sodium bicarbonate,84.0066 ,NaHCO3
Sodium bisulfate,120.06 ,NaHSO4
Sodium bisulfite,104.061 ,NaHSO3
Sodium bromate,150.89 ,NaBrO3
Sodium bromide,102.894 ,NaBr
Sodium carbonate,105.9888 ,Na2CO3
Sodium chloride,58.443 ,NaCl
Sodium chromate,161.97 ,Na2CrO4
Sodium cyanide,49.0072 ,NaCN
Sodium dichromate,261.97 ,Na2Cr2O7
Sodium fluoride,41.988 ,NaF
Sodium hydroxide,39.997 ,NaOH
Sodium hypochlorite,74.44 ,NaClO
Sodium iodide,149.89 ,NaI
Sodium nitrate,84.9947 ,NaNO3
Sodium nitrite,68.9953 ,NaNO2
Sodium oxide,61.9789 ,Na2O
Sodium phosphate,163.94 ,Na3PO4
Sodium sulfate,142.04 ,Na2SO4
Sodium sulfide,78.0452 ,Na2S
Sodium sulfite,126.043 ,Na2SO3
Strontium bromide,247.43 ,SrBr2
Strontium carbonate,147.63 ,SrCO3
Strontium chloride,158.53 ,SrCl2
Strontium fluoride,125.62 ,SrF2
Strontium hydroxide,121.63 ,Sr(OH)2
Strontium iodide,341.43 ,SrI2
Strontium nitrate,211.63 ,Sr(NO3)2
Strontium oxide,103.62 ,SrO
Strontium sulfate,183.68 ,SrSO4
Sucrose,342.30 ,C12H22O11
Sulfur dioxide,64.066 ,SO2
Sulfur hexafluoride,146.06 ,SF6
Sulfur trioxide,80.066 ,SO3
Sulfuric acid,98.079 ,H2SO4
Tartaric acid,150.09 ,C4H6O6
Tetrachloromethane,153.82 ,CCl4
Tin chloride,189.6 ,SnCl2
Titanium dioxide,79.866 ,TiO2
Trichloromethane,119.38 ,CHCl3
Trinitrotoluene (TNT),227.13 ,C7H5N3O6
Urea,60.06 ,CH4N2O
Water,18.01528 ,H2O
Xylene,106.16 ,C8H10
Zinc acetate,183.48 ,Zn(CH3COO)2
Zinc bromide,225.198 ,ZnBr2
Zinc carbonate,125.38 ,ZnCO3
Zinc chloride,136.315 ,ZnCl2
Zinc hydroxide,99.424 ,Zn(OH)2
Zinc iodide,319.198 ,ZnI2
Zinc nitrate,189.36 ,Zn(NO3)2
Zinc oxide,81.38 ,ZnO
Zinc phosphate,386.11 ,Zn3(PO4)2
Zinc sulfate,161.47 ,ZnSO4
